fold,test_start,test_end,auc,bal_acc,n_train,n_test
0,2023-04-27,2023-05-31,0.42307692307692313,0.4182692307692308,252,21
1,2023-06-01,2023-07-03,0.5111111111111112,0.5333333333333333,252,21
2,2023-07-05,2023-08-04,0.528846153846154,0.5576923076923077,252,21
3,2023-08-07,2023-09-08,0.6730769230769231,0.6730769230769231,252,21
4,2023-09-12,2023-10-18,0.4181818181818182,0.4454545454545455,252,21
5,2023-10-19,2023-11-24,0.5462962962962963,0.5972222222222222,252,21
6,2023-11-28,2023-12-28,0.7875000000000001,0.5875,252,21
7,2024-01-01,2024-01-31,0.3818181818181818,0.3727272727272727,252,21
8,2024-02-01,2024-03-04,0.4693877551020408,0.42857142857142855,252,21
9,2024-03-05,2024-04-16,0.6454545454545455,0.6681818181818182,252,21
10,2024-04-18,2024-05-22,0.4222222222222222,0.39999999999999997,252,21
11,2024-05-24,2024-06-25,0.5288461538461539,0.4326923076923077,252,21
12,2024-06-26,2024-08-07,0.36111111111111116,0.41666666666666663,252,21
13,2024-08-08,2024-09-16,0.32499999999999996,0.41875,252,21
14,2024-09-17,2024-10-21,0.40384615384615385,0.4519230769230769,252,21
15,2024-10-22,2024-11-22,0.5576923076923077,0.47596153846153844,252,21
16,2024-11-25,2024-12-27,0.5462962962962963,0.5138888888888888,252,21
17,2024-12-31,2025-01-29,0.35185185185185186,0.4027777777777778,252,21
18,2025-01-30,2025-03-11,0.7222222222222222,0.6333333333333333,252,21
19,2025-03-12,2025-04-16,0.5192307692307693,0.5673076923076923,252,21
20,2025-04-17,2025-05-22,0.6727272727272727,0.5590909090909091,252,21
21,2025-05-23,2025-06-24,0.5909090909090908,0.5681818181818181,252,21
